EmployeeID,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,IncomePerYear,PromotionDelay,IsOverduePromotion,EngagementScore,WorkloadStress,TenureRatio,RoleStagnation,SatisfactionIncomeRatio,CompanyHopper,Attrition_Probability,Risk_Percentage,Risk_Category
407,52,0,Travel_Rarely,319,Research & Development,3,3,Medical,4,Male,39,2,3,Manufacturing Director,3,Married,7969,19609,2,Yes,14,3,3,0,28,4,3,5,4,0,4,284.60714285714283,5,0,3.25,0,0.17857142857142858,0.8,2.3907,0,0.0117283845,1.17,Low Risk
408,45,0,Travel_Rarely,192,Research & Development,10,2,Life Sciences,1,Male,69,3,1,Research Scientist,4,Married,2654,9655,3,No,21,4,4,2,8,3,2,2,2,0,2,331.75,2,0,2.75,0,0.25,1.0,1.0616,0,0.0005919509,0.06,Low Risk
409,52,0,Travel_Rarely,1490,Research & Development,4,2,Life Sciences,4,Female,30,3,4,Manager,4,Married,16555,10310,2,No,13,3,4,0,31,2,1,5,2,1,4,534.0322580645161,4,0,3.25,0,0.16129032258064516,0.4,6.622,0,0.0011340885,0.11,Low Risk
410,42,0,Travel_Frequently,532,Research & Development,29,2,Life Sciences,1,Female,92,3,2,Research Scientist,3,Divorced,4556,12932,2,No,11,3,2,1,19,3,3,5,4,0,2,239.78947368421052,5,0,2.25,0,0.2631578947368421,0.8,1.3668,0,0.020868504,2.09,Low Risk
411,30,0,Travel_Rarely,317,Research & Development,2,3,Life Sciences,3,Female,43,1,2,Manufacturing Director,4,Single,6091,24793,2,No,20,4,3,0,11,2,3,5,4,0,2,553.7272727272727,5,0,3.25,0,0.45454545454545453,0.8,2.4364,0,0.0011970333,0.12,Low Risk
412,60,0,Travel_Rarely,422,Research & Development,7,3,Life Sciences,1,Female,41,3,5,Manager,1,Married,19566,3854,5,No,11,3,4,0,33,5,1,29,8,11,10,592.9090909090909,18,1,1.75,0,0.8787878787878788,0.27586206896551724,1.9566,1,0.022057204,2.21,Low Risk
413,46,0,Travel_Rarely,1485,Research & Development,18,3,Medical,3,Female,87,3,2,Manufacturing Director,3,Divorced,4810,26314,2,No,14,3,3,1,19,5,2,10,7,0,8,253.1578947368421,10,0,2.75,0,0.5263157894736842,0.7,1.443,0,0.00030012697,0.03,Low Risk
414,42,0,Travel_Frequently,1368,Research & Development,28,4,Technical Degree,4,Female,88,2,2,Healthcare Representative,4,Married,4523,4386,0,No,11,3,4,3,7,4,4,6,5,0,4,646.1428571428571,6,0,4.0,0,0.8571428571428571,0.8333333333333334,1.8092,0,0.002213201,0.22,Low Risk
415,24,1,Travel_Rarely,1448,Sales,1,1,Technical Degree,1,Female,62,3,1,Sales Representative,2,Single,3202,21972,1,Yes,16,3,2,0,6,4,3,5,3,1,4,533.6666666666666,4,0,2.0,0,0.8333333333333334,0.6,0.6404,0,0.9866606,98.67,High Risk
416,34,1,Travel_Frequently,296,Sales,6,2,Marketing,4,Female,33,1,1,Sales Representative,3,Divorced,2351,12253,0,No,16,3,4,1,3,3,2,2,2,1,0,783.6666666666666,1,0,3.25,0,0.6666666666666666,1.0,0.7053,0,0.98450017,98.45,High Risk
417,38,0,Travel_Frequently,1490,Research & Development,2,2,Life Sciences,4,Male,42,3,1,Laboratory Technician,4,Married,1702,12106,1,Yes,23,4,3,1,1,3,3,1,0,0,0,1702.0,1,0,3.5,0,1.0,0.0,0.6808,0,0.061735705,6.17,Low Risk
418,40,0,Travel_Rarely,1398,Sales,2,4,Life Sciences,3,Female,79,3,5,Manager,3,Married,18041,13022,0,No,14,3,4,0,21,2,3,20,15,1,12,859.0952380952381,19,0,3.25,0,0.9523809523809523,0.75,5.4123,0,0.00071009155,0.07,Low Risk
419,26,0,Travel_Rarely,1349,Research & Development,23,3,Life Sciences,1,Female,90,3,1,Research Scientist,4,Divorced,2886,3032,1,No,22,4,2,2,3,3,1,3,2,0,2,962.0,3,0,2.0,0,1.0,0.6666666666666666,1.1544,0,0.0017680816,0.18,Low Risk
420,30,0,Non-Travel,1400,Research & Development,3,3,Life Sciences,3,Male,53,3,1,Laboratory Technician,4,Married,2097,16734,4,No,15,3,3,1,9,3,1,5,3,1,4,233.0,4,0,2.75,0,0.5555555555555556,0.6,0.8388,0,0.0024336202,0.24,Low Risk
421,29,0,Travel_Rarely,986,Research & Development,3,4,Medical,2,Male,93,2,3,Research Director,3,Married,11935,21526,1,No,18,3,3,0,10,2,3,10,2,0,7,1193.5,10,0,2.75,0,1.0,0.2,3.5805,0,0.0047793416,0.48,Low Risk
422,29,1,Travel_Rarely,408,Research & Development,25,5,Technical Degree,3,Female,71,2,1,Research Scientist,2,Married,2546,18300,5,No,16,3,2,0,6,2,4,2,2,1,1,424.3333333333333,1,0,2.75,0,0.3333333333333333,1.0,0.5092,1,0.9816554,98.17,High Risk
423,19,1,Travel_Rarely,489,Human Resources,2,2,Technical Degree,1,Male,52,2,1,Human Resources,4,Single,2564,18437,1,No,12,3,3,0,1,3,4,1,0,0,0,2564.0,1,0,3.0,0,1.0,0.0,1.0256,0,0.9876599,98.77,High Risk
424,30,0,Non-Travel,1398,Sales,22,4,Other,3,Female,69,3,3,Sales Executive,1,Married,8412,2890,0,No,11,3,3,0,10,3,3,9,8,7,8,841.2,2,1,2.5,0,0.9,0.8888888888888888,0.8412,0,0.0073158387,0.73,Low Risk
425,57,0,Travel_Rarely,210,Sales,29,3,Marketing,1,Male,56,2,4,Manager,4,Divorced,14118,22102,3,No,12,3,3,1,32,3,2,1,0,0,0,441.1875,1,0,2.5,0,0.03125,0.0,5.6472,0,0.030104619,3.01,Low Risk
426,50,0,Travel_Rarely,1099,Research & Development,29,4,Life Sciences,2,Male,88,2,4,Manager,3,Married,17046,9314,0,No,15,3,2,1,28,2,3,27,10,15,7,608.7857142857143,12,1,2.5,0,0.9642857142857143,0.37037037037037035,5.1138,0,0.0010397468,0.1,Low Risk
427,30,0,Non-Travel,1116,Research & Development,2,3,Medical,3,Female,49,3,1,Laboratory Technician,4,Single,2564,7181,0,No,14,3,3,0,12,2,2,11,7,6,7,213.66666666666666,5,1,3.0,0,0.9166666666666666,0.6363636363636364,1.0256,0,0.0014921344,0.15,Low Risk
428,60,0,Travel_Frequently,1499,Sales,28,3,Marketing,3,Female,80,2,3,Sales Executive,1,Married,10266,2845,4,No,19,3,4,0,22,5,4,18,13,13,11,466.6363636363636,5,1,3.0,0,0.8181818181818182,0.7222222222222222,1.0266,0,0.033845633,3.38,Low Risk
429,47,0,Travel_Rarely,983,Research & Development,2,2,Medical,1,Female,65,3,2,Manufacturing Director,4,Divorced,5070,7389,5,No,13,3,3,3,20,2,3,5,0,0,4,253.5,5,0,2.75,0,0.25,0.0,2.028,1,0.0058080666,0.58,Low Risk
430,46,0,Travel_Rarely,1009,Research & Development,2,3,Life Sciences,1,Male,51,3,4,Research Director,3,Married,17861,2288,6,No,13,3,3,0,26,2,1,3,2,0,1,686.9615384615385,3,0,2.0,0,0.11538461538461539,0.6666666666666666,5.3583,1,0.010469634,1.05,Low Risk
431,35,0,Travel_Rarely,144,Research & Development,22,3,Life Sciences,4,Male,46,1,1,Laboratory Technician,3,Single,4230,19225,0,No,15,3,3,0,6,2,3,5,4,4,3,705.0,1,0,3.25,0,0.8333333333333334,0.8,1.269,0,0.017595049,1.76,Low Risk
432,54,0,Travel_Rarely,548,Research & Development,8,4,Life Sciences,3,Female,42,3,2,Laboratory Technician,3,Single,3780,23428,7,No,11,3,3,0,19,3,3,1,0,0,0,198.94736842105263,1,0,3.0,0,0.05263157894736842,0.0,1.134,1,0.005238506,0.52,Low Risk
433,34,0,Travel_Rarely,1303,Research & Development,2,4,Life Sciences,4,Male,62,2,1,Research Scientist,3,Divorced,2768,8416,3,No,12,3,3,1,14,3,3,7,3,5,7,197.71428571428572,2,1,3.25,0,0.5,0.42857142857142855,0.8304,0,0.0017516895,0.18,Low Risk
434,46,0,Travel_Rarely,1125,Sales,10,3,Marketing,3,Female,94,2,3,Sales Executive,4,Married,9071,11563,2,Yes,19,3,3,1,15,3,3,3,2,1,2,604.7333333333333,2,0,3.25,0,0.2,0.6666666666666666,3.6284,0,0.0011612036,0.12,Low Risk
435,31,0,Travel_Rarely,1274,Research & Development,9,1,Life Sciences,3,Male,33,3,3,Manufacturing Director,2,Divorced,10648,14394,1,No,25,4,4,1,13,6,4,13,8,0,8,819.0769230769231,13,0,3.25,0,1.0,0.6153846153846154,2.1296,0,0.005055257,0.51,Low Risk
436,33,1,Travel_Rarely,1277,Research & Development,15,1,Medical,2,Male,56,3,3,Manager,3,Married,13610,24619,7,Yes,12,3,4,0,15,2,4,7,6,7,7,907.3333333333334,0,1,3.25,0,0.4666666666666667,0.8571428571428571,4.083,1,0.99086845,99.09,High Risk
437,33,1,Travel_Rarely,587,Research & Development,10,1,Medical,1,Male,38,1,1,Laboratory Technician,4,Divorced,3408,6705,7,No,13,3,1,3,8,2,3,4,3,1,3,426.0,3,0,2.25,0,0.5,0.75,1.3632,1,0.97909695,97.91,High Risk
438,30,0,Travel_Rarely,413,Sales,7,1,Marketing,4,Male,57,3,1,Sales Representative,2,Single,2983,18398,0,No,14,3,1,0,4,3,3,3,2,1,2,745.75,2,0,2.5,0,0.75,0.6666666666666666,0.5966,0,0.025521947,2.55,Low Risk
439,35,0,Travel_Rarely,1276,Research & Development,16,3,Life Sciences,4,Male,72,3,3,Healthcare Representative,3,Married,7632,14295,4,Yes,12,3,3,0,10,2,3,8,7,0,0,763.2,8,0,3.25,0,0.8,0.875,2.2896,0,0.015500389,1.55,Low Risk
440,31,1,Travel_Frequently,534,Research & Development,20,3,Life Sciences,1,Male,66,3,3,Healthcare Representative,3,Married,9824,22908,3,No,12,3,1,0,12,2,3,1,0,0,0,818.6666666666666,1,0,2.0,0,0.08333333333333333,0.0,2.9472,0,0.9949555,99.5,High Risk
441,34,1,Travel_Frequently,988,Human Resources,23,3,Human Resources,2,Female,43,3,3,Human Resources,1,Divorced,9950,11533,9,Yes,15,3,3,3,11,2,3,3,2,0,2,904.5454545454545,3,0,2.25,0,0.2727272727272727,0.6666666666666666,0.995,1,0.9882917,98.83,High Risk
442,42,0,Travel_Frequently,1474,Research & Development,5,2,Other,2,Male,97,3,1,Laboratory Technician,3,Married,2093,9260,4,No,17,3,4,1,8,4,3,2,2,2,0,261.625,0,0,3.0,0,0.25,1.0,0.6279,0,0.013869868,1.39,Low Risk
443,36,0,Non-Travel,635,Sales,10,4,Medical,2,Male,32,3,3,Sales Executive,4,Single,9980,15318,1,No,14,3,4,0,10,3,2,10,3,9,7,998.0,1,1,3.0,0,1.0,0.3,3.992,0,0.032523032,3.25,Low Risk
444,22,1,Travel_Frequently,1368,Research & Development,4,1,Technical Degree,3,Male,99,2,1,Laboratory Technician,3,Single,3894,9129,5,No,16,3,3,0,4,3,3,2,2,1,2,973.5,1,0,3.0,0,0.5,1.0,1.1682,1,0.9889843,98.9,High Risk
445,48,0,Travel_Rarely,163,Sales,2,5,Marketing,2,Female,37,3,2,Sales Executive,4,Married,4051,19658,2,No,14,3,1,1,14,2,3,9,7,6,7,289.35714285714283,3,1,2.5,0,0.6428571428571429,0.7777777777777778,1.6204,0,0.005112572,0.51,Low Risk
446,55,0,Travel_Rarely,1117,Sales,18,5,Life Sciences,1,Female,83,3,4,Manager,2,Single,16835,9873,3,No,23,4,4,0,37,2,3,10,9,7,7,455.0,3,1,2.5,0,0.2702702702702703,0.9,3.367,0,0.022154426,2.22,Low Risk
447,41,0,Non-Travel,267,Sales,10,2,Life Sciences,4,Male,56,3,2,Sales Executive,4,Single,6230,13430,7,No,14,3,4,0,16,3,3,14,3,1,10,389.375,13,0,3.75,0,0.875,0.21428571428571427,2.492,1,0.0015554146,0.16,Low Risk
448,35,0,Travel_Rarely,619,Sales,1,3,Marketing,2,Male,85,3,2,Sales Executive,3,Married,4717,18659,9,No,11,3,3,0,15,2,3,11,9,6,9,314.46666666666664,5,1,2.75,0,0.7333333333333333,0.8181818181818182,1.4151,1,0.015221701,1.52,Low Risk
449,40,0,Travel_Rarely,302,Research & Development,6,3,Life Sciences,2,Female,75,3,4,Manufacturing Director,3,Single,13237,20364,7,No,15,3,3,0,22,3,3,20,6,5,13,601.6818181818181,15,1,2.75,0,0.9090909090909091,0.3,3.9711,1,0.0013996703,0.14,Low Risk
450,39,0,Travel_Frequently,443,Research & Development,8,1,Life Sciences,3,Female,48,3,1,Laboratory Technician,3,Married,3755,17872,1,No,11,3,1,1,8,3,3,8,3,0,7,469.375,8,0,2.5,0,1.0,0.375,1.1265,0,0.0556133,5.56,Low Risk
451,31,0,Travel_Rarely,828,Sales,2,1,Life Sciences,2,Male,77,3,2,Sales Executive,4,Single,6582,8346,4,Yes,13,3,3,0,10,2,4,6,5,0,5,658.2,6,0,3.25,0,0.6,0.8333333333333334,2.6328,0,0.020650357,2.07,Low Risk
452,42,0,Travel_Rarely,319,Research & Development,24,3,Medical,4,Male,56,3,3,Manufacturing Director,1,Married,7406,6950,1,Yes,21,4,4,1,10,5,2,10,9,5,8,740.6,5,1,2.75,1,1.0,0.9,0.7406,0,0.018932017,1.89,Low Risk
453,45,0,Travel_Rarely,561,Sales,2,3,Other,4,Male,61,3,2,Sales Executive,2,Married,4805,16177,0,No,19,3,2,1,9,3,4,8,7,3,7,533.8888888888889,5,0,3.0,0,0.8888888888888888,0.875,0.961,0,0.008915727,0.89,Low Risk
454,26,1,Travel_Frequently,426,Human Resources,17,4,Life Sciences,2,Female,58,3,1,Human Resources,3,Divorced,2741,22808,0,Yes,11,3,2,1,8,2,2,7,7,1,0,342.625,6,0,2.25,1,0.875,1.0,0.8223,0,0.9948841,99.49,High Risk
455,29,0,Travel_Rarely,232,Research & Development,19,3,Technical Degree,4,Male,34,3,2,Manufacturing Director,4,Divorced,4262,22645,4,No,12,3,2,2,8,2,4,3,2,1,2,532.75,2,0,3.5,0,0.375,0.6666666666666666,1.7048,0,0.0023665552,0.24,Low Risk
456,33,0,Travel_Rarely,922,Research & Development,1,5,Medical,1,Female,95,4,4,Research Director,3,Divorced,16184,22578,4,No,19,3,3,1,10,2,3,6,1,0,5,1618.4,6,0,2.5,0,0.6,0.16666666666666666,4.8552,0,0.0004255435,0.04,Low Risk
457,31,0,Travel_Rarely,688,Sales,7,3,Life Sciences,3,Male,44,2,3,Manager,4,Divorced,11557,25291,9,No,21,4,3,1,10,3,2,5,4,0,1,1155.7,5,0,3.0,0,0.5,0.8,4.6228,1,0.048960622,4.9,Low Risk
458,18,1,Travel_Frequently,1306,Sales,5,3,Marketing,2,Male,69,3,1,Sales Representative,2,Single,1878,8059,1,Yes,14,3,4,0,0,3,3,0,0,0,0,1878.0,0,0,2.75,0,0.0,0.0,0.3756,0,0.9978809,99.79,High Risk
459,40,0,Non-Travel,1094,Sales,28,3,Other,3,Male,58,1,3,Sales Executive,1,Divorced,10932,11373,3,No,15,3,3,1,20,2,3,1,0,0,1,546.6,1,0,2.5,0,0.05,0.0,1.0932,0,0.04343574,4.34,Low Risk
460,41,0,Non-Travel,509,Research & Development,2,4,Other,1,Female,62,2,2,Healthcare Representative,3,Single,6811,2112,2,Yes,17,3,1,0,10,3,3,8,7,0,7,681.1,8,0,2.0,0,0.8,0.875,2.0433,0,0.02912371,2.91,Low Risk
461,26,0,Travel_Rarely,775,Sales,29,2,Medical,1,Male,45,3,2,Sales Executive,3,Divorced,4306,4267,5,No,12,3,1,2,8,5,3,0,0,0,0,538.25,0,0,2.0,0,0.0,0.0,1.2918,1,0.07461018,7.46,Low Risk
462,35,0,Travel_Rarely,195,Sales,1,3,Medical,1,Female,80,3,2,Sales Executive,3,Single,4859,6698,1,No,16,3,4,0,5,3,3,5,4,0,3,971.8,5,0,2.75,0,1.0,0.8,1.4577,0,0.0066232653,0.66,Low Risk
463,34,0,Travel_Rarely,258,Sales,21,4,Life Sciences,4,Male,74,4,2,Sales Executive,4,Single,5337,19921,1,No,12,3,4,0,10,3,3,10,7,5,7,533.7,5,1,3.75,0,1.0,0.7,2.1348,0,0.019023672,1.9,Low Risk
464,26,1,Travel_Rarely,471,Research & Development,24,3,Technical Degree,3,Male,66,1,1,Laboratory Technician,4,Single,2340,23213,1,Yes,18,3,2,0,1,3,1,1,0,0,0,2340.0,1,0,2.5,1,1.0,0.0,0.936,0,0.99966776,99.97,High Risk
465,37,0,Travel_Rarely,799,Research & Development,1,3,Technical Degree,2,Female,59,3,3,Manufacturing Director,4,Single,7491,23848,4,No,17,3,4,0,12,3,4,6,5,1,2,624.25,5,0,3.5,0,0.5,0.8333333333333334,2.9964,0,0.0016719548,0.17,Low Risk
466,46,0,Travel_Frequently,1034,Research & Development,18,1,Medical,1,Female,86,3,3,Healthcare Representative,3,Married,10527,8984,5,No,11,3,4,0,28,3,2,2,2,1,2,375.9642857142857,1,0,2.5,0,0.07142857142857142,1.0,3.1581,1,0.031141818,3.11,Low Risk
467,41,0,Travel_Rarely,1276,Sales,2,5,Life Sciences,2,Female,91,3,4,Manager,1,Married,16595,5626,7,No,16,3,2,1,22,2,3,18,16,11,8,754.3181818181819,7,1,2.0,0,0.8181818181818182,0.8888888888888888,1.6595,1,0.005939895,0.59,Low Risk
468,37,0,Non-Travel,142,Sales,9,4,Medical,1,Male,69,3,3,Sales Executive,2,Divorced,8834,24666,1,No,13,3,4,1,9,6,3,9,5,7,7,981.5555555555555,2,1,2.5,0,1.0,0.5555555555555556,1.7668,0,0.010260725,1.03,Low Risk
469,52,0,Travel_Rarely,956,Research & Development,6,2,Technical Degree,4,Male,78,3,2,Research Scientist,1,Divorced,5577,22087,3,Yes,12,3,2,2,18,3,3,10,9,6,9,309.8333333333333,4,1,2.5,0,0.5555555555555556,0.9,0.5577,0,0.000770338,0.08,Low Risk
470,32,1,Non-Travel,1474,Sales,11,4,Other,4,Male,60,4,2,Sales Executive,3,Married,4707,23914,8,No,12,3,4,0,6,2,3,4,2,1,2,784.5,3,0,3.5,0,0.6666666666666666,0.5,1.4121,1,0.97860754,97.86,High Risk
471,24,0,Travel_Frequently,535,Sales,24,3,Medical,4,Male,38,3,1,Sales Representative,4,Married,2400,5530,0,No,13,3,3,2,3,3,3,2,2,2,1,800.0,0,0,3.5,0,0.6666666666666666,1.0,0.96,0,0.015801333,1.58,Low Risk
472,38,0,Travel_Rarely,1495,Research & Development,10,3,Medical,3,Female,76,3,2,Healthcare Representative,3,Married,9824,22174,3,No,19,3,3,1,18,4,3,1,0,0,0,545.7777777777778,1,0,3.0,0,0.05555555555555555,0.0,2.9472,0,0.0024453134,0.24,Low Risk
473,37,0,Travel_Rarely,446,Research & Development,1,4,Life Sciences,2,Female,65,3,2,Manufacturing Director,2,Married,6447,15701,6,No,12,3,2,1,8,2,2,6,5,4,3,805.875,2,0,2.0,0,0.75,0.8333333333333334,1.2894,1,0.0042657848,0.43,Low Risk
474,49,0,Travel_Rarely,1245,Research & Development,18,4,Life Sciences,4,Male,58,2,5,Research Director,3,Divorced,19502,2125,1,Yes,17,3,3,1,31,5,3,31,9,0,9,629.0967741935484,31,0,3.25,0,1.0,0.2903225806451613,5.8506,0,0.0005422821,0.05,Low Risk
475,24,0,Travel_Rarely,691,Research & Development,23,3,Medical,2,Male,89,4,1,Research Scientist,4,Married,2725,21630,1,Yes,11,3,2,2,6,3,3,6,5,1,4,454.1666666666667,5,0,2.75,0,1.0,0.8333333333333334,1.09,0,0.06716235,6.72,Low Risk
476,26,0,Travel_Rarely,703,Sales,28,2,Marketing,1,Male,66,3,2,Sales Executive,2,Married,6272,7428,1,No,20,4,4,2,6,5,4,5,3,1,4,1045.3333333333333,4,0,2.75,0,0.8333333333333334,0.6,1.2544,0,0.1216004,12.16,Low Risk
477,24,0,Travel_Rarely,823,Research & Development,17,2,Other,4,Male,94,2,1,Laboratory Technician,2,Married,2127,9100,1,No,21,4,4,1,1,2,3,1,0,0,0,2127.0,1,0,3.25,0,1.0,0.0,0.4254,0,0.4309651,43.1,Medium Risk
478,50,0,Travel_Frequently,1246,Human Resources,3,3,Medical,1,Male,99,3,5,Manager,2,Married,18200,7999,1,No,11,3,3,1,32,2,3,32,5,10,7,568.75,22,1,2.25,0,1.0,0.15625,3.64,0,0.009690536,0.97,Low Risk
479,25,0,Travel_Rarely,622,Sales,13,1,Medical,2,Male,40,3,1,Sales Representative,3,Married,2096,26376,1,No,11,3,3,0,7,1,3,7,4,0,6,299.42857142857144,7,0,2.75,0,1.0,0.5714285714285714,0.6288,0,0.0186451,1.86,Low Risk
480,24,1,Travel_Frequently,1287,Research & Development,7,3,Life Sciences,1,Female,55,3,1,Laboratory Technician,3,Married,2886,14168,1,Yes,16,3,4,1,6,4,3,6,3,1,2,481.0,5,0,2.75,0,1.0,0.5,0.8658,0,0.99052763,99.05,High Risk
481,30,1,Travel_Frequently,448,Sales,12,4,Life Sciences,2,Male,74,2,1,Sales Representative,1,Married,2033,14470,1,No,18,3,3,1,1,2,4,1,0,0,0,2033.0,1,0,2.5,0,1.0,0.0,0.2033,0,0.9952657,99.53,High Risk
482,34,0,Travel_Rarely,254,Research & Development,1,2,Life Sciences,2,Male,83,2,1,Research Scientist,4,Married,3622,22794,1,Yes,13,3,4,1,6,3,3,6,5,1,3,603.6666666666666,5,0,3.25,0,1.0,0.8333333333333334,1.4488,0,0.0041136355,0.41,Low Risk
483,31,1,Travel_Rarely,1365,Sales,13,4,Medical,2,Male,46,3,2,Sales Executive,1,Divorced,4233,11512,2,No,17,3,3,0,9,2,1,3,1,1,2,470.3333333333333,2,0,1.75,0,0.3333333333333333,0.3333333333333333,0.4233,0,0.98325133,98.33,High Risk
484,35,0,Travel_Rarely,538,Research & Development,25,2,Other,1,Male,54,2,2,Laboratory Technician,4,Single,3681,14004,4,No,14,3,4,0,9,3,3,3,2,0,2,409.0,3,0,3.0,0,0.3333333333333333,0.6666666666666666,1.4724,0,0.019987073,2.0,Low Risk
485,31,0,Travel_Rarely,525,Sales,6,4,Medical,1,Male,66,4,2,Sales Executive,4,Divorced,5460,6219,4,No,22,4,4,2,13,4,4,7,7,5,7,420.0,2,1,3.25,0,0.5384615384615384,1.0,2.184,0,0.015307943,1.53,Low Risk
486,27,0,Travel_Rarely,798,Research & Development,6,4,Medical,1,Female,66,2,1,Research Scientist,3,Divorced,2187,5013,0,No,12,3,3,2,6,5,2,5,3,0,3,364.5,5,0,2.25,0,0.8333333333333334,0.6,0.6561,0,0.0056354115,0.56,Low Risk
487,37,0,Travel_Rarely,558,Sales,2,3,Marketing,4,Male,75,3,2,Sales Executive,3,Married,9602,3010,4,Yes,11,3,3,1,17,3,2,3,0,1,0,564.8235294117648,2,0,3.0,1,0.17647058823529413,0.0,2.8806,0,0.015425044,1.54,Low Risk
488,20,0,Travel_Rarely,959,Research & Development,1,3,Life Sciences,4,Female,83,2,1,Research Scientist,2,Single,2836,11757,1,No,13,3,4,0,1,0,4,1,0,0,0,2836.0,1,0,3.5,0,1.0,0.0,0.5672,0,0.021367472,2.14,Low Risk
489,42,0,Travel_Rarely,622,Research & Development,2,4,Life Sciences,3,Female,81,3,2,Healthcare Representative,4,Married,4089,5718,1,No,13,3,2,2,10,4,3,10,2,2,2,408.9,8,0,3.0,0,1.0,0.2,1.6356,0,0.001031057,0.1,Low Risk
490,43,0,Travel_Rarely,782,Research & Development,6,4,Other,2,Male,50,2,4,Research Director,4,Divorced,16627,2671,4,Yes,14,3,3,1,21,3,2,1,0,0,0,791.7619047619048,1,0,2.75,1,0.047619047619047616,0.0,6.6508,0,0.0025259135,0.25,Low Risk
491,38,0,Travel_Rarely,362,Research & Development,1,1,Life Sciences,3,Female,43,3,1,Research Scientist,1,Single,2619,14561,3,No,17,3,4,0,8,3,2,0,0,0,0,327.375,0,0,2.5,0,0.0,0.0,0.2619,0,0.0142737925,1.43,Low Risk
492,43,0,Travel_Frequently,1001,Research & Development,9,5,Medical,4,Male,72,3,2,Laboratory Technician,3,Divorced,5679,19627,3,Yes,13,3,2,1,10,3,3,8,7,4,7,567.9,4,0,3.0,0,0.8,0.875,1.7037,0,0.005102698,0.51,Low Risk
493,48,0,Travel_Rarely,1236,Research & Development,1,4,Life Sciences,4,Female,40,2,4,Manager,1,Married,15402,17997,7,No,11,3,1,1,21,3,1,3,2,0,2,733.4285714285714,3,0,1.75,0,0.14285714285714285,0.6666666666666666,1.5402,1,0.0019600526,0.2,Low Risk
494,44,0,Travel_Rarely,1112,Human Resources,1,4,Life Sciences,1,Female,50,2,2,Human Resources,3,Single,5985,26894,4,No,11,3,2,0,10,1,4,2,2,0,2,598.5,2,0,2.5,0,0.2,1.0,1.7955,0,0.00085328554,0.09,Low Risk
495,34,0,Travel_Rarely,204,Sales,14,3,Technical Degree,3,Female,31,3,1,Sales Representative,3,Divorced,2579,2912,1,Yes,18,3,4,2,8,3,3,8,2,0,6,322.375,8,0,3.25,0,1.0,0.25,0.7737,0,0.027236544,2.72,Low Risk
496,27,1,Travel_Rarely,1420,Sales,2,1,Marketing,3,Male,85,3,1,Sales Representative,1,Divorced,3041,16346,0,No,11,3,2,1,5,3,3,4,3,0,2,608.2,4,0,2.25,0,0.8,0.75,0.3041,0,0.97010416,97.01,High Risk
497,21,0,Travel_Rarely,1343,Sales,22,1,Technical Degree,3,Male,49,3,1,Sales Representative,3,Single,3447,24444,1,No,11,3,3,0,3,2,3,3,2,1,2,1149.0,2,0,3.0,0,1.0,0.6666666666666666,1.0341,0,0.55665404,55.67,Medium Risk
498,44,0,Travel_Rarely,1315,Research & Development,3,4,Other,4,Male,35,3,5,Manager,4,Married,19513,9358,4,Yes,12,3,1,1,26,2,4,2,2,0,1,750.5,2,0,3.25,0,0.07692307692307693,1.0,7.8052,0,0.0006721062,0.07,Low Risk
499,22,0,Travel_Rarely,604,Research & Development,6,1,Medical,1,Male,69,3,1,Research Scientist,3,Married,2773,12145,0,No,20,4,4,0,3,3,3,2,2,2,2,924.3333333333334,0,0,2.75,0,0.6666666666666666,1.0,0.8319,0,0.0033825983,0.34,Low Risk
500,33,0,Travel_Rarely,1216,Sales,8,4,Marketing,3,Male,39,3,2,Sales Executive,3,Divorced,7104,20431,0,No,12,3,4,0,6,3,3,5,0,1,2,1184.0,4,0,3.25,0,0.8333333333333334,0.0,2.1312,0,0.0012608459,0.13,Low Risk
501,32,0,Travel_Rarely,646,Research & Development,9,4,Life Sciences,1,Female,92,3,2,Research Scientist,4,Married,6322,18089,1,Yes,12,3,4,1,6,2,2,6,4,0,5,1053.6666666666667,6,0,2.75,1,1.0,0.6666666666666666,2.5288,0,0.020129742,2.01,Low Risk
502,30,0,Travel_Frequently,160,Research & Development,3,3,Medical,3,Female,71,3,1,Research Scientist,3,Divorced,2083,22653,1,No,20,4,3,1,1,2,3,1,0,0,0,2083.0,1,0,3.0,0,1.0,0.0,0.6249,0,0.02948045,2.95,Low Risk
503,53,0,Travel_Rarely,238,Sales,1,1,Medical,4,Female,34,3,2,Sales Executive,1,Single,8381,7507,7,No,20,4,4,0,18,2,4,14,7,8,10,465.6111111111111,6,1,3.25,0,0.7777777777777778,0.5,0.8381,1,0.031348746,3.13,Low Risk
504,34,0,Travel_Rarely,1397,Research & Development,1,5,Life Sciences,2,Male,42,3,1,Research Scientist,4,Married,2691,7660,1,No,12,3,4,1,10,4,2,10,9,8,8,269.1,2,1,3.0,0,1.0,0.9,1.0764,0,0.0005765337,0.06,Low Risk
